31558,000348,3000,3000,3000,3000,3000,-10,3000,3000,3000
31562,010246,3000,3000,3000,3000,3000,95,3000,3000,3000
29750,061410,3000,98,98,98,98,137,137,137,142
29751,062000,0,174,174,174,174,213,213,213,351
29752,063315,75,168,168,168,168,168,111,111,194
29753,064822,3000,213,213,284,284,284,346,346,493
29754,065200,0,50,50,50,91,91,91,91,114
29755,070300,0,178,178,178,178,121,54,54,57
29756,071405,125,206,206,206,158,158,158,231,152
29757,072300,240,180,180,254,254,254,194,194,177
29758,072628,88,3000,88,101,26,26,16,26,-49
29759,073334,34,34,34,136,208,208,143,205,141
29760,073814,14,3000,1,1,1,1,1,1,3000
29761,074735,3000,89,89,89,125,125,125,159,97
29762,075344,344,3000,3000,0,0,0,0,392,392
29763,075723,3000,0,272,272,300,300,300,515,515
29764,080331,91,176,176,156,176,176,214,288,201
29888,061214,3000,3000,3000,3000,3000,3000,3000,0,0
29750,061410,3000,98,98,98,98,137,137,137,142
29751,062000,0,174,174,174,174,213,213,213,351
29752,063315,75,168,168,168,168,168,111,111,194
29889,064017,3000,3000,3000,3000,3000,3000,3000,228,228
29890,064700,3000,3000,3000,3000,3000,3000,0,0,0
29753,064822,3000,213,213,284,284,284,346,346,493
29754,065200,0,50,50,50,91,91,91,91,114
29891,065944,3000,3000,3000,3000,3000,3000,3000,0,0
29755,070300,0,178,178,178,178,121,54,54,57
29892,071151,3000,3000,3000,3000,3000,3000,3000,67,67
29756,071405,125,206,206,206,158,158,158,231,152
29893,072000,3000,3000,3000,3000,3000,3000,0,0,0
29757,072300,240,180,180,254,254,254,194,194,177
29758,072628,88,3000,88,101,26,26,16,26,-49
29759,073334,34,34,34,136,208,208,143,205,141
29760,073814,14,3000,1,1,1,1,1,1,3000
29761,074735,3000,89,89,89,125,125,125,159,97
29762,075344,344,3000,3000,0,0,0,0,392,392
29763,075723,3000,0,272,272,300,300,300,515,515
29764,080331,91,176,176,156,176,176,214,288,201
29765,080750,-10,-56,-56,7,7,7,7,7,-15
29766,082302,3000,279,279,279,279,279,209,311,242
29767,082635,335,399,399,399,445,445,445,367,406
29768,083009,69,-12,-12,54,120,120,31,31,-41
29769,083823,3000,0,0,0,0,0,0,0,-51
29770,084137,37,797,797,797,797,797,722,636,636
29771,084729,29,29,7,0,29,46,46,46,70
29772,085524,3000,-59,-59,-121,-121,-121,0,-126,-126
29773,090502,362,362,362,3000,3000,3000,3000,3000,3000
29774,090500,0,55,55,3000,3000,3000,3000,3000,3000
29780,095212,3000,3000,3000,3000,114,114,151,151,151
29781,095511,3000,125,125,203,203,203,133,133,133
29782,095800,0,7,7,7,7,7,77,38,38
29783,101228,388,394,394,3000,3000,3000,3000,3000,3000
29797,121609,3000,46,46,109,109,109,136,58,58
29796,121826,3000,3000,3000,3000,3000,3000,266,167,97
29798,122017,17,93,93,189,189,189,3000,189,189
29799,122830,30,30,3000,240,240,240,165,165,165
29800,123700,0,98,98,98,98,98,119,98,98
29801,124522,22,22,22,22,22,22,0,0,3000
29802,125400,0,0,0,3000,3000,3000,3000,3000,3000
29802,125905,3000,3000,0,3000,3000,3000,3000,3000,3000
29801,125858,3000,3000,3000,3000,3000,3000,3000,0,0
