000500, 000500, 70876, 0
003500, 003500, 70878, 0
010500, 010500, 70880, 0
013500, 013500, 70882, 0
023500, 023500, 70886, 0
074900, 074900, 71235, 0
080400, 080400, 71236, 0
081900, 081900, 71237, 0
083400, 083400, 71238, 0
084900, 084900, 71239, 0
090400, 090400, 71240, 0
092300, 092300, 71241, 0
093800, 093800, 71242, 0
095200, 095200, 71243, 0
100200, 100200, 71244, 0
102200, 102200, 71246, 0
104200, 104200, 71248, 0
110200, 110200, 71250, 0
112200, 112200, 71252, 0
114200, 114200, 71254, 0
120200, 120200, 71256, 0
122200, 122200, 71258, 0
124200, 124200, 71260, 0
130200, 130200, 71262, 0
142200, 142200, 71270, 0
144200, 144200, 71272, 0
150200, 150200, 71274, 0
152200, 152200, 71276, 0
154200, 154200, 71278, 0
160200, 160200, 71280, 0
162200, 162200, 71282, 0
164200, 164200, 71284, 0
170200, 170200, 71286, 0
172200, 172200, 71288, 0
174300, 174300, 71290, 0
180300, 180300, 71292, 0
182300, 182300, 71294, 0
184300, 184300, 71296, 0
190300, 190300, 71298, 0
192400, 192400, 71300, 0
193400, 193400, 71301, 0
194900, 194900, 71302, 0
200400, 200400, 71303, 0
